,category,scientific_name,common_names,conservation_status
96,Vascular Plant,Spiraea virginiana,Virginia Spiraea,Threatened
97,Vascular Plant,Buckleya distichophylla,Piratebush,Species of Concern
98,Vascular Plant,Saxifraga caroliniana,Carolina Saxifrage,Species of Concern
99,Nonvascular Plant,Plagiomnium carolinianum,Carolina Plagiomnium Moss,Species of Concern
100,Nonvascular Plant,Leptohymenium sharpii,Sharp's Leptohymenium Moss,Species of Concern
101,Nonvascular Plant,Bazzania nudicaulis,Bazzania,Species of Concern
102,Nonvascular Plant,Lophocolea appalachiana,Appalachian Lophocolea,Species of Concern
103,Nonvascular Plant,Tortula ammonsiana,Ammon's Screw-Moss,Species of Concern
104,Mammal,Ovis canadensis,"Bighorn Sheep, Bighorn Sheep",Species of Concern
105,Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery
106,Mammal,Taxidea taxus,"American Badger, Badger",Species of Concern
107,Mammal,Ursus arctos horribilis,Grizzly Bear,Threatened
108,Mammal,Antrozous pallidus,"Pallid Bat, Pallid Bat",Species of Concern
109,Mammal,Eptesicus fuscus,"Big Brown Bat, Big Brown Bat",Species of Concern
110,Mammal,Euderma maculatum,"Spotted Bat, Spotted Bat",Species of Concern
111,Mammal,Lasionycteris noctivagans,"Silver-Haired Bat, Silver-Haired Bat",Species of Concern
112,Mammal,Myotis californicus,"California Myotis, California Myotis, Californian Myotis",Species of Concern
113,Mammal,Myotis evotis,"Long-Eared Myotis, Long-Eared Myotis",Species of Concern
114,Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis, Little Brown Myotis",Species of Concern
115,Mammal,Myotis thysanodes,"Fringed Myotis, Fringed Myotis",Species of Concern
116,Mammal,Myotis volans,"Long-Legged Myotis, Long-Legged Myotis",Species of Concern
117,Mammal,Myotis yumanensis,"Yuma Myotis, Yuma Myotis",Species of Concern
118,Mammal,Sorex preblei,"Malheur Shrew, Preble's Shrew",Species of Concern
119,Bird,Buteo lagopus,Rough-Legged Hawk,Species of Concern
120,Bird,Pandion haliaetus,"Osprey, Western Osprey",Species of Concern
121,Bird,Cygnus buccinator,Trumpeter Swan,Species of Concern
122,Bird,Chaetura vauxi,Vaux's Swift,Species of Concern
123,Bird,Selasphorus rufus,Rufous Hummingbird,Species of Concern
124,Bird,Stellula calliope,Calliope Hummingbird,Species of Concern
125,Bird,Sterna hirundo,Common Tern,Species of Concern
126,Bird,Bartramia longicauda,Upland Sandpiper,Species of Concern
127,Bird,Limosa fedoa,Marbled Godwit,Species of Concern
128,Bird,Patagioenas fasciata,Band-Tailed Pigeon,Species of Concern
129,Bird,Falco mexicanus,Prairie Falcon,Species of Concern
130,Bird,Falco peregrinus anatum,American Peregrine Falcon,In Recovery
131,Bird,Gavia immer,"Common Loon, Great Northern Diver, Great Northern Loon",Species of Concern
132,Bird,Coturnicops noveboracensis,Yellow Rail,Species of Concern
133,Bird,Calcarius mccownii,Mccown's Longspur,Species of Concern
134,Bird,Gymnorhinus cyanocephalus,Pinyon Jay,Species of Concern
135,Bird,Pipilo chlorurus,Green-Tailed Towhee,Species of Concern
136,Bird,Spizella breweri,Brewer's Sparrow,Species of Concern
137,Bird,Riparia riparia,"Bank Swallow, Sand Martin",Species of Concern
138,Bird,Oreoscoptes montanus,Sage Thrasher,Species of Concern
139,Bird,Phainopepla nitens,Phainopepla,Species of Concern
140,Bird,Sialia mexicana,Western Bluebird,Species of Concern
141,Bird,Plegadis chihi,White-Faced Ibis,Species of Concern
142,Bird,Sphyrapicus thyroideus,Williamson's Sapsucker,Species of Concern
143,Bird,Aechmophorus occidentalis,Western Grebe,Species of Concern
144,Reptile,Sceloporus graciosus graciosus,Northern Sagebrush Lizard,Species of Concern
145,Amphibian,Rana luteiventris,Columbia Spotted Frog,Species of Concern
146,Fish,Chasmistes liorus,June Sucker,Endangered
147,Fish,Oncorhynchus mykiss,Rainbow Trout,Threatened
148,Fish,Cottus bairdii,Mottled Sculpin,Species of Concern
149,Vascular Plant,Najas flexilis,"Nodding Waternymph, Slender Naiad, Wavy Waternymph",Species of Concern
150,Vascular Plant,Sium suave,"Common Waterparsnip, Hemlock Waterparsnip, Hemlock Water-Parsnip",Species of Concern
151,Vascular Plant,Iris missouriensis,"Rocky Mountain Iris, Western Blue Flag, Wild Iris, Wildiris",Species of Concern
152,Vascular Plant,Abronia ammophila,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern
153,Vascular Plant,Castilleja sulphurea,Sulphur Indian Paintbrush,Species of Concern
154,Vascular Plant,Mimulus patulus,Stalk-Leaved Monkey-Flower,Species of Concern
155,Vascular Plant,Achnatherum contractum,Contracted Ricegrass,Species of Concern
156,Mammal,Ovis canadensis sierrae,Sierra Nevada Bighorn Sheep,Endangered
157,Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered
158,Mammal,Taxidea taxus,Badger,Species of Concern
159,Mammal,Bassariscus astutus,Ringtail,Species of Concern
160,Mammal,Lasiurus blossevillii,Western Red Bat,Species of Concern
161,Mammal,Myotis californicus,California Myotis,Species of Concern
162,Mammal,Myotis lucifugus,Little Brown Myotis,Species of Concern
163,Mammal,Lepus americanus tahoensis,Sierra Nevada Snowshoe Hare,Species of Concern
164,Mammal,Sylvilagus bachmani,Brush Rabbit,Species of Concern
165,Mammal,Aplodontia rufa californica,Sierra Nevada Mountain Beaver,Species of Concern
166,Bird,Elanus leucurus,White-Tailed Kite,Species of Concern
167,Bird,Gymnogyps californianus,California Condor,Endangered
168,Bird,Cypseloides niger,Black Swift,Species of Concern
169,Bird,Pica nuttalli,Yellow-Billed Magpie,Species of Concern
170,Bird,Pyrocephalus rubinus,Vermilion Flycatcher,Species of Concern
171,Bird,Nycticorax nycticorax,Black-Crowned Night Heron,Species of Concern
172,Bird,Pelecanus occidentalis,Brown Pelican,In Recovery
173,Reptile,Diadophis punctatus,"Ringneck Snake, Ring-Necked Snake",Species of Concern
174,Reptile,Lampropeltis getula californiae,California Kingsnake,Species of Concern
175,Amphibian,Anaxyrus canorus,Yosemite Toad,Threatened
176,Amphibian,Rana draytonii,California Red-Legged Frog,Threatened
177,Amphibian,Rana sierrae,Sierra Nevada Yellow-Legged Frog,Endangered
178,Amphibian,Hydromantes platycephalus,Mount Lyell Salamander,Species of Concern
179,Fish,Oncorhynchus clarkii henshawi,Lahontan Cutthroat Trout,Threatened
180,Vascular Plant,Lomatium congdonii,"Congdon's Lomatium, Mariposa Desertparsley",Species of Concern
181,Vascular Plant,Allium tribracteatum,Threebract Onion,Species of Concern
182,Vascular Plant,Eriophyllum nubigenum,Yosemite Woolly Sunflower,Species of Concern
183,Vascular Plant,Plagiobothrys torreyi var. diffusus,Torrey's Popcornflower,Species of Concern
184,Vascular Plant,Trifolium bolanderi,Parasol Clover,Species of Concern
185,Vascular Plant,Mimulus filicaulis,"Hetch Hetchy Monkey-Flower, Slenderstem Monkeyflower",Species of Concern
186,Vascular Plant,Callitriche marginata,Winged Water-Starwort,Species of Concern
187,Vascular Plant,Camissonia sierrae ssp. alticola,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern
188,Vascular Plant,Epilobium oreganum,"Grants Pass Willowherb, Oregon Fireweed",Species of Concern
189,Vascular Plant,Botrychium ascendens,"Trianglelobe Moonwort, Upswept Moonwort",Species of Concern
190,Vascular Plant,Romneya coulteri,Coulter's Matilija Poppy,Species of Concern
